,indicator,name,upperdistrict,value,year
0,population,Арбат,ЦАО,34012.0,2015
0,population,Арбат,ЦАО,31286.0,2014
0,population,Арбат,ЦАО,30076.0,2013
0,population,Арбат,ЦАО,29108.0,2012
0,population,Арбат,ЦАО,28536.0,2011
0,crimebook,Арбат,ЦАО,,2015
0,crimebook,Арбат,ЦАО,,2014
0,crimebook,Арбат,ЦАО,12735.0,2013
0,crimebook,Арбат,ЦАО,,2012
0,crimebook,Арбат,ЦАО,,2011
0,crimes,Арбат,ЦАО,,2015
0,crimes,Арбат,ЦАО,986.0,2014
0,crimes,Арбат,ЦАО,718.0,2013
0,crimes,Арбат,ЦАО,868.0,2012
0,crimes,Арбат,ЦАО,816.0,2011
0,economiccrimes,Арбат,ЦАО,,2015
0,economiccrimes,Арбат,ЦАО,,2014
0,economiccrimes,Арбат,ЦАО,,2013
0,economiccrimes,Арбат,ЦАО,,2012
0,economiccrimes,Арбат,ЦАО,110.0,2011
0,gravecrimes,Арбат,ЦАО,,2015
0,gravecrimes,Арбат,ЦАО,,2014
0,gravecrimes,Арбат,ЦАО,191.0,2013
0,gravecrimes,Арбат,ЦАО,195.0,2012
0,gravecrimes,Арбат,ЦАО,,2011
0,murders,Арбат,ЦАО,,2015
0,murders,Арбат,ЦАО,,2014
0,murders,Арбат,ЦАО,2.0,2013
0,murders,Арбат,ЦАО,0.0,2012
0,murders,Арбат,ЦАО,,2011
0,healthdamage,Арбат,ЦАО,,2015
0,healthdamage,Арбат,ЦАО,6.0,2014
0,healthdamage,Арбат,ЦАО,8.0,2013
0,healthdamage,Арбат,ЦАО,,2012
0,healthdamage,Арбат,ЦАО,,2011
0,robbing,Арбат,ЦАО,,2015
0,robbing,Арбат,ЦАО,49.0,2014
0,robbing,Арбат,ЦАО,32.0,2013
0,robbing,Арбат,ЦАО,71.0,2012
0,robbing,Арбат,ЦАО,,2011
0,banditry,Арбат,ЦАО,8.0,2015
0,banditry,Арбат,ЦАО,10.0,2014
0,banditry,Арбат,ЦАО,12.0,2013
0,banditry,Арбат,ЦАО,,2012
0,banditry,Арбат,ЦАО,,2011
0,thefts,Арбат,ЦАО,,2015
0,thefts,Арбат,ЦАО,413.0,2014
0,thefts,Арбат,ЦАО,296.0,2013
0,thefts,Арбат,ЦАО,461.0,2012
0,thefts,Арбат,ЦАО,,2011
0,burglary,Арбат,ЦАО,7.0,2015
0,burglary,Арбат,ЦАО,12.0,2014
0,burglary,Арбат,ЦАО,12.0,2013
0,burglary,Арбат,ЦАО,10.0,2012
0,burglary,Арбат,ЦАО,,2011
0,carthefts,Арбат,ЦАО,7.0,2015
0,carthefts,Арбат,ЦАО,9.0,2014
0,carthefts,Арбат,ЦАО,18.0,2013
0,carthefts,Арбат,ЦАО,15.0,2012
0,carthefts,Арбат,ЦАО,,2011
0,fraud,Арбат,ЦАО,,2015
0,fraud,Арбат,ЦАО,,2014
0,fraud,Арбат,ЦАО,,2013
0,fraud,Арбат,ЦАО,,2012
0,fraud,Арбат,ЦАО,,2011
0,hijacking,Арбат,ЦАО,,2015
0,hijacking,Арбат,ЦАО,,2014
0,hijacking,Арбат,ЦАО,1.0,2013
0,hijacking,Арбат,ЦАО,1.0,2012
0,hijacking,Арбат,ЦАО,,2011
0,drugs,Арбат,ЦАО,96.0,2015
0,drugs,Арбат,ЦАО,90.0,2014
0,drugs,Арбат,ЦАО,,2013
0,drugs,Арбат,ЦАО,,2012
0,drugs,Арбат,ЦАО,19.0,2011
0,publicplaces,Арбат,ЦАО,,2015
0,publicplaces,Арбат,ЦАО,453.0,2014
0,publicplaces,Арбат,ЦАО,336.0,2013
0,publicplaces,Арбат,ЦАО,580.0,2012
